Bank Name,Bank ID,Account Number,Entity ID,Entity Name
Portugal Bank #4507,331579,80B779D80,80062E240,Sole Proprietorship #50438
Canada Bank #27,210,809D86900,800C998A0,Corporation #33520
UK Bank #33,21884,80812BE00,800C47F50,Partnership #35397
Germany Bank #4815,32742,81047F300,80096F0B0,Corporation #48813
National Bank of Harrisburg,127390,80BD8CF00,800FB8760,Corporation #889
Spain Bank #439,224555,80F269580,80064EB20,Sole Proprietorship #42987
Savings Bank of Omaha,32013,80E6E8680,800CCEDE0,Sole Proprietorship #20855
Brazil Bank #39,335355,80CDEFD80,800D88F10,Partnership #36822
Mexico Bank #16,1132,80B723600,800D3F760,Partnership #36511
Russia Bank #39,217824,806B17000,800B44480,Partnership #33830
Acme Community Bank,3051,801B5F580,800CE6560,Partnership #4394
Croatia Bank #36,24840,803D08400,800786C50,Sole Proprietorship #24627
National Bank of Cleveland,122086,80D9E7300,8004D60F0,Sole Proprietorship #17045
Bank of New York,1853,808939E80,8001B6C60,Partnership #51470
Willows Community Bank,11471,801F66780,8001727E0,Sole Proprietorship #4568
Japan Bank #930,311355,804301D90,800A9E740,Partnership #32508
Italy Bank #364,28629,80BCFEA90,800720A50,Corporation #40316
Acme Cooperative Bank,1601,800332090,800F0B030,Partnership #15275
National Bank of Harrisburg,25075,80528F990,800FBB640,Partnership #10650
Israel Bank #349,345250,810AA5110,800E84E60,Corporation #35871
Russia Bank #30,116904,806F45410,800B49C40,Sole Proprietorship #32941
Germany Bank #74,12513,80DE87090,8006D77B0,Sole Proprietorship #23649
Savings Bank of Billings,6075,8034BDD90,800DEADE0,Partnership #7246
National Bank of Providence,46537,811BAE490,8005EC710,Partnership #46146
Brownstone Credit Union,1686,80C034B10,80019D860,Sole Proprietorship #15491
Willows Bancorp,1729,8006B6090,8000E7320,Partnership #1137
Germany Bank #787,36071,810B673A0,80094F4F0,Corporation #26264
Israel Bank #935,343880,810BFA420,800EC1E80,Sole Proprietorship #45573
India Bank #440,314160,805359820,800B3A830,Corporation #31439
India Bank #25,7,804F803A0,800ABA660,Partnership #32618
Spain Bank #309,219449,80A1C9CA0,800832B50,Partnership #25697
France Bank #35,13057,8025180A0,8006C3BA0,Partnership #3174
National Bank of Detroit,1068,80D1A1620,800D9D390,Corporation #708
National Bank of Boston,6129,8051BF8A0,800D3EEF0,Corporation #1588
National Bank of Helena,1457,80252D8A0,800CA4D00,Sole Proprietorship #5217
Japan Bank #42,9665,80E92E0A0,800A5D540,Sole Proprietorship #49806
Italy Bank #321,43923,8110DC9A0,800977970,Corporation #26826
Spruce Community Bank,2454,801D4CB20,8001EA380,Sole Proprietorship #4401
China Bank #23,9417,8075264B0,8009BE590,Corporation #53938
Saudi Arabia Bank #433,348286,812003F30,800F1BC50,Partnership #38226
Germany Bank #1776,36922,802901D30,800674C60,Corporation #23083
Japan Bank #0,15,803A007B0,800A96680,Sole Proprietorship #31592
France Bank #52,24144,8027F2830,8008B1D30,Partnership #41067
Finland Bank #0,11,8003805B0,80067DF20,Corporation #28009
Crytpo Bank #23,153502,8140BCF31,8005AB290,Sole Proprietorship #39511
Crytpo Bank #5,126,814103F31,800FE9980,Country #1
Portugal Bank #1649,36868,80DB80230,8014E6BD0,Corporation #18817
Australia Bank #47,27755,80A2E35B0,800CCD520,Corporation #33736
Belgium Bank #258,13959,80C8B43B0,8006A4020,Partnership #25972
National Bank of Springfield,24550,80B2FF330,800D84B20,Corporation #12767
Crytpo Bank #23,153502,8140BCF30,800F97930,Sole Proprietorship #4042
Crytpo Bank #5,126,814103F30,800F78D30,Partnership #15159
Canada Bank #43,25534,80951DF30,800C9A6A0,Corporation #45456
UK Bank #175,23370,81385A530,800C3B550,Sole Proprietorship #9309
Japan Bank #38,210972,804140E30,800A94700,Sole Proprietorship #30937
Spain Bank #174,218202,8078A2D30,8008C95B0,Corporation #52679
Germany Bank #10,1655,805833BB0,8006AB0C0,Partnership #23751
France Bank #75,2591,801250FB0,8006631C0,Partnership #19389
Flagstone Bancorp,1241,802FA6CB0,80014BBA0,Partnership #43188
Switzerland Bank #980,337578,80E535540,800E6E5E0,Partnership #37692
Plandor Bancorp,310889,807C734C0,8007C7870,Partnership #15089
Australia Bank #847,329614,80AC3C740,800D28430,Partnership #36506
Hearthstone Cooperative Bank,31428,801456240,8000E8640,Corporation #1787
National Bank of Laramie,10,803500540,800AEFF20,Sole Proprietorship #3008
Russia Bank #72,316638,806126F40,800BA5C90,Partnership #34218
Israel Bank #5,217,810F86CC0,800E7FA00,Partnership #37705
Israel Bank #244,343603,810CF19C0,800F01070,Sole Proprietorship #37719
Switzerland Bank #41,40905,80F57E4C0,800DB93F0,Corporation #34854
Mexico Bank #42,133471,80C64AFC0,800D3F700,Partnership #36544
China Bank #147,128853,80FEBAAC0,8009EC7A0,Sole Proprietorship #29799
Russia Bank #24,17120,806F97040,800B91AD0,Partnership #17318
India Bank #0,6,804A80340,800AAE3A0,Partnership #48875
National Bank of the East,15625,80A3684D0,800954330,Sole Proprietorship #1120
Regents Trust Bank,15730,8091EB950,8009E9DE0,Corporation #5193
Switzerland Bank #67,337629,80DC36ED0,800DB93F0,Corporation #34854
Canada Bank #28,25170,809712950,800CB9AC0,Sole Proprietorship #35096
Savings Bank of Topeka,1674,802E34550,800C16760,Sole Proprietorship #5575
Switzerland Bank #35,139828,80ED11A50,800E3BDE0,Sole Proprietorship #8118
Flagstone Community Bank,115915,8136A65D0,80045EE50,Corporation #19353
Savings Bank of Fairfield,14549,801AC6AD0,80029FEC0,Sole Proprietorship #38887
Brownstone Trust Bank,21258,806D18550,80013ED20,Partnership #11401
First Bank of Springfield,701,802515ED0,8000F2980,Corporation #37255
Australia Bank #756,329168,80ADAE860,800CC7820,Corporation #43613
Switzerland Bank #1416,341517,80F6306E0,800E0FDA0,Corporation #35669
Plateau Bancorp,31914,801D65560,800F40C50,Sole Proprietorship #5149
China Bank #1027,330601,80B1DB4E0,8009963E0,Sole Proprietorship #51800
Sappo Trust Bank,327522,809FFB160,800CB5020,Sole Proprietorship #11759
Bank of Harrisburg,138630,81146C360,8008F0530,Partnership #6680
Savings Bank of Dallas,11405,8012E46E0,800F25CC0,Sole Proprietorship #21536
Savings Bank of the South,12893,811E12EE0,800E29820,Sole Proprietorship #695
UK Bank #29,211,8076869E0,800BC5650,Partnership #34689
India Bank #2,71,804D023E0,800AC8450,Sole Proprietorship #31648
Spain Bank #450,3335,8027E83E0,800706790,Sole Proprietorship #23150
Switzerland Bank #22,38478,80E2B2760,800DF7300,Partnership #8973
UK Bank #8,23501,808DDE6E0,800C3E970,Corporation #5631
Spain Bank #2297,251027,813BA49E0,80098D030,Sole Proprietorship #41161
France Bank #75,2591,807BD0FE0,800666520,Corporation #24038
Spruce Trust Bank,211075,8091C41E0,8003D1720,Sole Proprietorship #12973
National Bank of Arkadelphia,8798,80A412F60,800382280,Sole Proprietorship #41644
Savings Bank of Fairfield,8623,810D0D7E0,800363620,Partnership #52465
Plandor Savings Bank,22736,806646860,8001F2020,Sole Proprietorship #10264
Arbor Thrift,1688,800534C60,8000DDD60,Sole Proprietorship #38443
Golden Bancorp,1362,80F2AA960,80009F4A0,Partnership #42584
China Bank #931,330462,810656F70,800A04360,Partnership #30956
Germany Bank #468,33172,801C0CA70,8008CF110,Partnership #29512
Croatia Bank #36,24840,80FF08470,80072C730,Sole Proprietorship #50092
Crytpo Bank #9,225,8137070F1,800FE9980,Country #1
National Bank of Pittsburgh,220,800F06E70,800E62000,Sole Proprietorship #16866
France Bank #1273,29435,80B517DF0,800973010,Partnership #29184
Switzerland Bank #124,141561,80F947CF0,800DB93F0,Corporation #34854
Italy Bank #1395,121415,8124D23F0,8006D4190,Sole Proprietorship #25380
Bank of the South,1411,80D32C1F0,800F2CCC0,Sole Proprietorship #15340
Savings Bank of Watertown,318854,80AEEC370,800F7B270,Partnership #15276
First Bank of Arkadelphia,11318,805CE1B70,800CC82A0,Corporation #8183
Bank of Arkadelphia,1244,8010A6E70,800C409F0,Sole Proprietorship #2586
Australia Bank #23,228054,80A5D6B70,800CE6380,Sole Proprietorship #43219
Australia Bank #20,27621,80AA5F2F0,800CDBC40,Partnership #45847
India Bank #25,7,8000803F0,800AC11C0,Sole Proprietorship #31703
First Bank of Danbury,113865,80AEE64F0,80041D8A0,Sole Proprietorship #14497
Savings Bank of Huron,7478,80E669B70,80033E7C0,Corporation #45094
Switzerland Bank #932,337661,80E5B7E00,800E6E5E0,Partnership #37692
Savings Bank of Providence,31083,80164B500,8003FF620,Partnership #51216
Austria Bank #107,16011,803274500,8007E1BD0,Corporation #39580
France Bank #100,23525,801C5F200,800949CD0,Sole Proprietorship #49773
Spruce Federal Bank,37449,80F892400,800F41BD0,Sole Proprietorship #16999
China Bank #340,21615,8128A3700,8009FF800,Sole Proprietorship #30198
Greece Bank #452,124368,80D42E880,800982090,Partnership #29406
Arbor Savings Bank,1,800300000,800E7C3B0,Sole Proprietorship #12947
Japan Bank #0,15,804300700,800A61D00,Partnership #32491
Russia Bank #78,316697,806F28C00,800B49C40,Sole Proprietorship #32941
Croatia Bank #169,3572,803CEFA80,80090A790,Corporation #22021
Savings Bank of Huron,2439,80604C300,800DCCF70,Sole Proprietorship #9962
India Bank #0,6,804D00380,800AAFF00,Sole Proprietorship #48922
Germany Bank #39,15863,8029EFB00,8007C8350,Corporation #50421
National Bank of Danbury,111433,80669A400,8003DCBA0,Corporation #48978
Bank of Denver,333492,80D635A90,800F97210,Sole Proprietorship #14937
Plandor Credit Union,34518,801AB6B90,800B8B8B0,Sole Proprietorship #1099
Brownstone Thrift,336357,80D40F210,800CEF500,Sole Proprietorship #954
Germany Bank #4676,31424,80EBD6090,80080D590,Sole Proprietorship #24333
Bank of Lacrosse,336265,813F0C410,800E2A7E0,Corporation #12248
